"","cell_id","abf_name","stim_type","layer_name","recorder_name","trial","center_freq","X3dB_freq","res_sharpness","cell_ID","file_time"
"1","14306300.abf","14306307.abf","zap_sub_neg","L2.3","Lihua","avg",1.11591591591592,19.8605605605606,1.01037372030868,"2","2014-03-06 11:53:18.801"
"2","14317333.abf","14317335.abf","zap_sub_rmp","L2.3","Lihua","avg",2.33103103103103,12.9881881881882,1.07206712225015,"21","2014-03-17 15:29:35.305"
"3","14512300.abf","14512308.abf","zap_sub_rmp","L5","Lihua","avg",1.13583583583584,6.25525525525525,1.27529807602943,"1","2014-05-12 17:29:43.359"
"4","14515399.abf","14515402.abf","zap_sub_rmp","L5","Lihua","avg",0,0,0,"4","2014-05-15 16:29:14.296"
"5","14918305.abf","14918308.abf","zap_sub_rmp","L5","Lihua","avg",0,0,0,"12","2014-09-18 15:32:36.388"
"6","14918371.abf","14918373.abf","zap_sub_rmp","L5","Lihua","avg",0,0,0,"14","2014-09-18 18:07:20.513"
"7","14d02169.abf","14d02170.abf","zap_sub_rmp","L2.3","Lihua","avg",0,0,0,"10","2014-12-02 19:41:25.052"
"8","14d160190.abf","15312067.abf","zap_sub_neg","L2.3","Lihua","avg",0,0,0,"8","2015-03-12 15:22:46.559"
"9","14d16109.abf","14d16111.abf","zap_sub_rmp","L2.3","Lihua","avg",0,0,0,"12","2014-12-16 18:36:44.379"
"10","14n03301.abf","14n03315.abf","zap_sub_neg","L5","Lihua","avg",0.976476476476476,6.83293293293293,1.0490263066155,"4","2014-11-03 13:36:25.588"
"11","14n03358.abf","14n03406.abf","zap_sub_rmp","L5","Lihua","avg",0,0,0,"15","2014-11-03 18:03:03.692"
"12","14n03359.abf","14n04303.abf","zap_sub_neg","L5","Lihua","avg",0,0,0,"10","2014-11-04 13:10:45.141"
"13","15224025.abf","15224028.abf","zap_sub_neg","L5","Lihua","avg",0.976476476476476,9.303003003003,1.02710368602038,"6","2015-02-24 14:03:27.717"
"14","15330028.abf","15330041.abf","zap_sub_neg","L5","Lihua","avg",2.15175175175175,18.1872872872873,1.04239578524267,"8","2015-03-30 15:50:21.982"
"15","15420048.abf","15420039.abf","zap_sub_neg","L5","Lihua","avg",0,0,0,"9","2015-04-20 14:40:29.057"
"16","15420096.abf","15420098.abf","zap_sub_rmp","L5","Lihua","avg",0,0,0,"20","2015-04-20 16:39:22.467"
"17","19129000.abf","19129006.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"28","2019-01-29 12:38:26.468"
"18","19129014.abf","19129016.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"29","2019-01-29 13:40:24.687"
"19","19129046.abf","19129048.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"19129046","2019-01-29 18:15:42.093"
"20","19129051.abf","19129054.abf","zap_sub_rmp","L2.3","Homeira","avg",0.936636636636637,6.17557557557558,1.0613890685342,"19129051","2019-01-29 19:26:56.453"
"21","19129064.abf","19129065.abf","zap_sub_rmp","L3c","Homeira","avg",0.757357357357357,3.64574574574575,1.02268175712343,"19129064","2019-01-29 20:15:50.250"
"22","19129072.abf","19129074.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"19129072","2019-01-29 20:35:07.062"
"23","19228000.abf","19228001.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"30","2019-02-28 13:19:22.046"
"24","19228029.abf","19228031.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"31","2019-02-28 16:21:56.375"
"25","19228044.abf","19228045.abf","zap_sub_rmp","L5","Homeira","avg",0.837037037037037,4.08398398398398,1.07503661991885,"32","2019-02-28 18:13:19.203"
"26","19228058.abf","19228063.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"33","2019-02-28 18:44:28.578"
"27","19228068.abf","19228080.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"34","2019-02-28 19:32:35.953"
"28","2019_11_04_0001.abf","2019_11_04_0009.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"1","2019-11-04 13:08:51.656"
"29","2019_11_04_0083.abf","2019_11_04_0088.abf","zap_sub_rmp","L3c","Homeira","avg",4.94054054054054,18.6454454454454,1.11543860949471,"2019_11_04_0082","2019-11-04 15:38:51.578"
"30","2019_11_26_0006.abf","2019_11_26_0002.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"14","2019-11-26 12:58:09.140"
"31","2019_11_26_0037.abf","2019_11_26_0032.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"2019_11_26_0037","2019-11-26 15:18:58.437"
"32","2019_11_26_0054.abf","2019_11_26_0054.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"15","2019-11-26 16:12:32.828"
"33","2019_11_28_0010.abf","2019_11_28_0002.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"2019_11_28_0010","2019-11-28 12:33:18.359"
"34","2019_11_28_0032.abf","2019_11_28_0034.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"2019_11_28_0032","2019-11-28 13:53:05.656"
"35","2020_01_06_0030.abf","2020_01_06_0026.abf","zap_sub_neg","L3c","Homeira","avg",0,0,0,"2020_01_06_0030","2020-01-06 14:05:44.640"
"36","2020_01_06_0101.abf","2020_01_06_0097.abf","zap_sub_rmp","L3c","Homeira","avg",2.29119119119119,11.4742742742743,1.03907813588288,"16","2020-01-06 20:46:27.000"
"37","2020_01_06_0108.abf","2020_01_06_0102.abf","zap_sub_rmp","L3c","Homeira","avg",0,0,0,"17","2020-01-06 21:04:19.453"
"38","2020_01_27_0001.abf","2020_01_27_0000.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"20","2020-01-27 12:55:40.562"
"39","2020_01_27_0014.abf","2020_01_27_0017.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"22","2020-01-27 16:35:14.046"
"40","2020_01_27_0045.abf","2020_01_27_0045.abf","zap_sub_rmp","L5","Homeira","avg",0,0,0,"24","2020-01-27 21:27:07.546"
"41","2020_01_28_0006.abf","2020_01_28_0014.abf","zap_sub_neg","L5","Homeira","avg",2.41071071071071,8.6058058058058,1.35495686511779,"2020_01_28_0006-Good","2020-01-28 17:41:20.484"
"42","2020_01_28_0016.abf","2020_01_28_0018.abf","zap_sub_rmp","L5","Homeira","avg",1.31511511511512,6.23533533533533,1.04979278402607,"26","2020-01-28 18:38:28.468"
